"","id","countryCode","establishmentMeans","occurrenceRemarks","location"
"219",120424,"BR","NATURALIZADA","Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-MG-BR-RJ-BR-SP-BR-ES-BR-SC-BR-PR-BR-BA-BR-DF-BR-RS-BR-TO"
"220",23207,"BR","CULTIVADA","Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-GO-BR-MS-BR-MT-BR-PE-BR-PB-BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-RS-BR-PR-BR-BA-BR-AC"
"221",23201,"BR","CULTIVADA","Não endemica/Amazônia-Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-RS-BR-PR-BR-SE-BR-RN-BR-PI-BR-PE-BR-PB-BR-MA-BR-CE-BR-BA-BR-AL-BR-TO-BR-RR-BR-RO-BR-PA-BR-AP-BR-AM-BR-AC-BR-MT-BR-MS-BR-GO-BR-DF"
"222",22898,"BR","NATIVA","Não endemica/Amazônia","BR-AC"
"223",35304,"BR","NATIVA","Endemica/Mata Atlântica","BR-PR"
"224",83651,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Mata Atlântica","BR-PR-BR-PE-BR-MA-BR-BA-BR-AM"
"225",83527,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Cerrado","BR-SP-BR-GO-BR-PI-BR-BA-BR-MG-BR-TO-BR-AM"
"226",120617,"BR","NATURALIZADA","Não endemica/Mata Atlântica-Não endemica/Pampa","BR-MG-BR-SP-BR-SC-BR-RS-BR-PR"
"227",31060,"BR","NATIVA","Não endemica/Cerrado","BR-SP-BR-MS"
"228",18991,"BR","CULTIVADA","Não endemica/","BR-SE-BR-PI-BR-CE-BR-RS-BR-RN-BR-PE-BR-PB-BR-BA-BR-AL"
"229",23140,"BR","CULTIVADA","Não endemica/","NA"
"230",120619,"BR","NATURALIZADA","Não endemica/Mata Atlântica-Não endemica/Pampa","BR-SP-BR-RS-BR-PR"
"231",121463,"BR",NA,"/Cerrado-/Mata Atlântica","BR-RJ-BR-GO"
"232",121589,"BR",NA,"/Amazônia-/Mata Atlântica","BR-PE-BR-AM"
"233",92717,"BR",NA,"/Amazônia-/Mata Atlântica","BR-PA-BR-BA-BR-RJ-BR-MT-BR-RS-BR-SP-BR-SC-BR-PE-BR-AM"
"234",36587,"BR","NATURALIZADA","Não endemica/Mata Atlântica","BR-BA"
"235",98232,"BR","NATIVA","Não endemica/","BR-SP-BR-PR-BR-BA"
"236",25622,"BR","NATURALIZADA","Não endemica/","NA"
