"","scientificName","scientificName_gbif","species_gbif","usageKey","sepciesKey","rank","status"
"427","Bauhinia bicolor (Bong.) Steud.","Bauhinia bicolor (Bong.) Steud.","Bauhinia bicolor","7845141","7845141","SPECIES","DOUBTFUL"
"428","Bauhinia membranacea Benth.","Bauhinia membranacea Benth.","Bauhinia membranacea","2953527","2953527","SPECIES","ACCEPTED"
"429","Bauhinia piresii Vaz & G.P. Lewis","Bauhinia piresii Vaz & G.P.Lewis","Bauhinia piresii","8559279","8559279","SPECIES","ACCEPTED"
"430","Bauhinia uberlandiana Vaz & G.P. Lewis","Bauhinia uberlandiana Vaz & G.P.Lewis","Bauhinia uberlandiana","8639737","8639737","SPECIES","ACCEPTED"
"431","Calliandra duckei Barneby","Calliandra duckei Barneby","Calliandra duckei","2981834","2981834","SPECIES","ACCEPTED"
"432","Cenostigma nordestinum E. Gagnon & G.P. Lewis","Cenostigma nordestinum E.Gagnon & G.P.Lewis","Cenostigma nordestinum","9306034","9306034","SPECIES","ACCEPTED"
"433","Chamaecrista amabilis H.S.Irwin & Barneby","Chamaecrista amabilis H.S.Irwin & Barneby","Chamaecrista amabilis","2950620","2950620","SPECIES","ACCEPTED"
"434","Chamaecrista amorimii Barneby","Chamaecrista amorimii Barneby","Chamaecrista amorimii","3931998","3931998","SPECIES","ACCEPTED"
"435","Chamaecrista celiae (H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista celiae (H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista celiae","2950499","2950499","SPECIES","ACCEPTED"
"436","Chamaecrista fulgida Barneby","Chamaecrista fulgida Barneby","Chamaecrista fulgida","3931431","3931431","SPECIES","ACCEPTED"
"437","Chamaecrista lentiscifolia (Benth.) H.S.Irwin & Barneby","Chamaecrista lentiscifolia (Benth.) H.S.Irwin & Barneby","Chamaecrista lentiscifolia","2949660","2949660","SPECIES","ACCEPTED"
"438","Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","Chamaecrista machaeriifolia","2950046","2950046","SPECIES","ACCEPTED"
"439","Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista nuda","2949571","2949571","SPECIES","ACCEPTED"
"440","Chamaecrista pteropoda Barneby","Chamaecrista pteropoda Barneby","Chamaecrista pteropoda","3931866","3931866","SPECIES","ACCEPTED"
"441","Chamaecrista spinulosa (H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista spinulosa (H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista spinulosa","2950019","2950019","SPECIES","ACCEPTED"
"442","Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","Chamaecrista subpeltata","2950237","2950237","SPECIES","ACCEPTED"
"443","Chamaecrista unijuga (Benth.) Conc. et al.","Chamaecrista unijuga (Benth.) Conc., L.P.Queiroz & G.P.Lewis","Chamaecrista cytisoides","3978238","2950121","SPECIES","SYNONYM"
"444","Copaifera cearensis Huber ex Ducke","Copaifera cearensis Huber ex Ducke","Copaifera cearensis","2978192","2978192","SPECIES","ACCEPTED"
"445","Copaifera piresii Ducke","Copaifera piresii Ducke","Copaifera piresii","2978120","2978120","SPECIES","ACCEPTED"
"446","Coursetia vicioides (Nees & Mart.) Benth.","Coursetia vicioides Benth.","Coursetia vicioides","2959373","2959373","SPECIES","ACCEPTED"
"447","Cynometra macrocarpa A.S.Tav.","Cynometra macrocarpa A.S.Tav.","Cynometra macrocarpa","3931893","3931893","SPECIES","ACCEPTED"
"448","Cynometra marleneae A.S.Tav.","Cynometra marleneae A.S.Tav.","Cynometra marleneae","3965646","3965646","SPECIES","ACCEPTED"
"449","Dahlstedtia lewisiana M.J. Silva & A.M.G. Azevedo","Dahlstedtia lewisiana M.J.Silva & A.M.G.Azevedo","Dahlstedtia lewisiana","8157634","8157634","SPECIES","ACCEPTED"
"450","Dicymbe amazonica Ducke","Dicymbe amazonica Ducke","Dicymbe amazonica","2965722","2965722","SPECIES","ACCEPTED"
